"query","search interest","increase percent"
"ai news today",45,"Breakout"
"business news today",44,"Breakout"
"google ai news",16,"Breakout"
"ai updates",11,"Breakout"
"ai mode",7,"Breakout"
"openai news",7,"Breakout"
"meta ai news",5,"Breakout"
"google business profile",4,"Breakout"
"openai news today",3,"Breakout"
"eu ai act news",3,"Breakout"
"google workspace",3,"Breakout"
"google ai studio",3,"Breakout"
"n8n",2,"Breakout"
"grok",2,"Breakout"
"new york times",2,"Breakout"
"shopify news",2,"Breakout"
"godaddy",1,"Breakout"
"markets news today",1,"Breakout"
"facebook business manager",1,"Breakout"
"udemy",1,"Breakout"
"3d printing news",1,"Breakout"
"ai receptionist for small business",1,"Breakout"
"meta business suite",1,"Breakout"
"best small business ideas",1,"Breakout"
"ai humanizer",1,"Breakout"
"news",88,"1,950%"
"ai news",88,"1,800%"
"ai strategy for business leaders harvard free course",0,"1,400%"
"perplexity",5,"190%"
"instagram",19,"190%"
"product",29,"160%"
"perplexity ai",6,"160%"
"claude",10,"100%"
"meta ai",13,"100%"
"open ai",23,"90%"
"deep ai",6,"90%"
"google gemini",7,"70%"
"hubspot",2,"60%"
"claude ai",8,"60%"
"linkedin",10,"60%"
"business for sale",26,"60%"
"notion",2,"50%"
"google ai",50,"40%"
"ai solutions for business",10,"40%"
"best ai for business",100,"30%"
"ai for small business",50,"30%"
"gemini",13,"20%"
"asic",3,"20%"
"best ai tools for business",12,"8%"
"ai tools for business",34,"5%"
