"query","search interest","increase percent"
"best ai for business",100,"30%"
"ai news",88,"1,800%"
"news",88,"1,950%"
"ai for small business",50,"30%"
"google ai",50,"40%"
"ai news today",45,"Breakout"
"business news today",44,"Breakout"
"ai tools for business",34,"5%"
"product",29,"160%"
"business for sale",26,"60%"
"my business",24,"-30%"
"open ai",23,"90%"
"instagram",19,"190%"
"ai for business course",17,"-10%"
"ai course",16,"-6%"
"google ai news",16,"Breakout"
"meta ai",13,"100%"
"ai generator",13,"-70%"
"gemini",13,"20%"
"gemini ai",13,"2%"
"ai courses",13,"-7%"
"best ai tools for business",12,"8%"
"ai updates",11,"Breakout"
"ai chat",11,"-60%"
"linkedin",10,"60%"
"claude",10,"100%"
"ai solutions for business",10,"40%"
"claude ai",8,"60%"
"copilot ai",8,"-30%"
"copilot",8,"-10%"
"google gemini",7,"70%"
"ai mode",7,"Breakout"
"openai news",7,"Breakout"
"ai for business leaders",6,"2%"
"perplexity ai",6,"160%"
"deep ai",6,"90%"
"perplexity",5,"190%"
"meta ai news",5,"Breakout"
"google business profile",4,"Breakout"
"ask ai",3,"-50%"
"openai news today",3,"Breakout"
"ai detector",3,"-60%"
"eu ai act news",3,"Breakout"
"ai business name generator",3,"-80%"
"google workspace",3,"Breakout"
"ai logo generator",3,"-80%"
"business name generator",3,"-80%"
"ai checker",3,"-40%"
"google ai studio",3,"Breakout"
"asic",3,"20%"
